ISO_lokal	MJD	UTC	CENT	CENT_status	DOOR	DOOR_status	BA	BA_status
2026-03-20T07:44:30	61119.280914	2026-03-20T06:44:30Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:44:35	61119.280971	2026-03-20T06:44:35Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:44:40	61119.281029	2026-03-20T06:44:40Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:44:45	61119.281087	2026-03-20T06:44:45Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:44:50	61119.281145	2026-03-20T06:44:50Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:44:55	61119.281203	2026-03-20T06:44:55Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:00	61119.281261	2026-03-20T06:45:00Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:05	61119.281319	2026-03-20T06:45:05Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:10	61119.281376	2026-03-20T06:45:10Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:15	61119.281434	2026-03-20T06:45:15Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:20	61119.281493	2026-03-20T06:45:20Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:25	61119.281550	2026-03-20T06:45:25Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:30	61119.281608	2026-03-20T06:45:30Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:35	61119.281666	2026-03-20T06:45:35Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:40	61119.281724	2026-03-20T06:45:40Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:45	61119.281781	2026-03-20T06:45:45Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:50	61119.281840	2026-03-20T06:45:50Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:45:55	61119.281898	2026-03-20T06:45:55Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:46:00	61119.281955	2026-03-20T06:46:00Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:46:05	61119.282013	2026-03-20T06:46:05Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:46:10	61119.282071	2026-03-20T06:46:10Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
2026-03-20T07:46:15	61119.282129	2026-03-20T06:46:15Z	NaN	unbekannt	NaN	Overrange	NaN	Overrange
